from,to,weight,season
Mainz,1,50,2021
Nuernberg,33,3,2019
Stuttgart_2,42,,2021
Arsenal,5,30,2022
Hannover,2,40,2020
Jubilo Iwata,37,1,2021
Zagreb,24,60,2018
Freiburg,15,10,2020
Anderlecht,23,18,2018
Truiden,3,17,2020
Kiel,16,8,2019
Juventus ,32,15,2021
Chelsea,6,4,2019
Monaco,8,18,2021
Sandhausen,28,,2019
Paris FC,14,80,2019
Bielefeld,30,25,2018
Augsburg,11,5,2017
Sandhausen,20,30,2019
Instituto AC,31,17,2019
Stuttgart_2,25,,2020
Fenerbahce,34,,2021
Wolfsburg,10,,2018
Paris SG,7,,2019
Paderborn,22,25,2021
Admira,9,18,2019
Sporting Lissabon,18,5,2021
Wolfsburg,17,,2021
Vejle,19,45,2021
Stuttgart_2,50,,2021
Stuttgart_2,44,,2021
1,Deutschland,,
33,Deutschland,,
42,Deutschland,,
5,Griechenland,,
2,Deutschland,Usbekistan,
37,Japan,,
24,Kroatien,Deutschland,
15,Deutschland,,
23,Belgien,Kongo,
3,Japan,,
16,Deutschland,,
32,Frankreich,Komoren,
6,England,Kongo,
8,Frankreich,Martinique,
28,Daenemark,Ghana,
14,Kongo,,
30,Deutschland,Italien,
11,Deutschland,,
20,Deutschland,,
31,Deutschland,Argentinien,
25,Deutschland,,
34,Tuerkei,,
10,Deutschland,Benin,
7,Frankreich,Elfenbeinkueste,
22,Deutschland,,
9,Oesterreich,Serbien,
18,Portugal,,
17,Aegypten,Kanada,
19,Daenemark,Afghanistan,
50,franzoesisch,kamerunisch,
44,Niederlande,Sierra_Leone,
